Company Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount,Stage,Year
Zetwerk,2018,Bangalore,Commerce,B2B marketplace that connects manufacturing companies for industrial equipements,"Amrit Acharya, Srinath Ramakkrushnan, Vishal Chaudhary",Greenoaks,21000000.0,Series C,2020
ChitMonks,2016,Hyderabad,Finance,Offers enterprise private platform for chit fund firms,Pavan Adipuram,Unicorn India Ventures,650000.0,Pre-series A,2020
goDutch,2016,Mumbai,Finance,Group Payments platform,"Aniruddh Singh, Riyaz Khan, Sagar Sheth","Matrix India, Y Combinator, Global Founders Capital, Soma Capital, VentureSouq",1700000.0,Pre-series A,2020
High Street Essentials,2012,New Delhi,Commerce,The parent company of women's fashion brands FabAlley and Indya,"Shivani Poddar, Tanvi Malik","SAIF Partners, India Quotient",2743000.0,Pre-series A,2020
Slice,2016,Bangalore,Finance,A financial platform for youngsters,Rajan Bajaj,Gunosy,6082000.0,Pre-series A,2020
Bombay Play,2016,Bangalore,Manufacturing,It designs and creates online multiplayer games,"Abhas Saroha, Oliver Jones","Leo capital, Ramakant Sharma",1500000.0,Pre-series A,2020
Aye Finance,2014,Gurgaon,Finance,A finance lender to SMEs,"Vikram Jetley, Sanjay Sharma","Capital G, Alphabet's Independent growth fund",27700000.0,Series E,2020
Drishti Technologies,2016,Bangalore,Technology,"AI-based video analytics, data, and insights bring benefits to manufacturers",Prasad Akella,Sozo Ventures,25000000.0,Series B,2020
Instasolv,2019,Noida,Education,It is a doubt-solving app for students from Class 6 to 12,"Aditya Singhal, Nishant Sinha, Bahul Arora",Undisclosed,2000000.0,Pre-series A,2020
Jai Kisan,2017,Mumbai,Finance,A platform that caters the need of customers in rural areas,"Arjun Ahluwalia, Adriel Maniego","Arkam Ventures, Nabventures",3937000.0,Pre-series A,2020
Edvizo,2016,Bangalore,Education,"Online marketplace to search, compare and enrol in the best institutes for competitive exam preparation",Ravi Nishant,Inflection Point Ventures,150000.0,Pre-series A,2020
Servify,2016,Mumbai,Technology,Operates device management and support platform,Sreevathsa Prabhakar,"Iron Pillar, Blume Ventures",11370000.0,Series C,2020
Waycool,2015,Chennai,Agriculture,Food development and distribution services,"Karthick Jayraman, Sanjay Dasari",Induslnd Bank,5500000.0,Series C,2020
Ameliorate Biotech,2016,Bangalore,Health,"Their products address the needs in Early Stage Diagnostics, Bio-Similars and Nutraceuticals.","Dr Binita Shrivastava Tunga, Dr Rashbehari Tunga","PadUp, Villgro USA, Vinners, LetsVenture, SINE IIT Bombay, DERBI",264000.0,Angel Round,2020
HealthPlix,2016,Bangalore,Health,It provides clinical software for doctors,"Raghuraj Sunder Raju, Prasad Basavaraj, Sandeep Gudibanda","JSW Ventures, Chiratae Ventures, Kalaari Capital",6000000.0,Series B,2020
YoloBus,2019,Gurgaon,Transport,Intercity bus service startup,"Shailesh Gupta, Mukul Shah",Nexus Venture Partners,3300000.0,Series A,2020
Pocket52,2017,Bangalore,Manufacturing,An online poker playing platform,Nitesh Salvi,Gameskraft,1750000.0,Series A,2020
Wooden Street,2015,Jaipur,Commerce,It enables to order custom furniture online,"Lokendra Ranawat, Dinesh Pratap Singh, Virendra Ranawat, Vikas Baheti",IAN Fund,3000000.0,Series A,2020
